Date : 2024-03-08 11:43:40
Directory : /home/dean/SNNEngine/src
Total : 81 files,  22465 codes, 9488 comments, 4233 blanks, all 36186 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |         78 |     22,331 |      9,487 |      4,216 |     36,034 |
| JSON with Comments |          1 |         96 |          0 |          0 |         96 |
| Makefile           |          1 |         37 |          0 |         16 |         53 |
| Shell Script       |          1 |          1 |          1 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                          |         81 |     22,465 |      9,488 |      4,233 |     36,186 |
| . (Files)                                                  |         80 |      9,732 |      1,562 |      2,016 |     13,310 |
| nlohmann                                                   |          1 |     12,733 |      7,926 |      2,217 |     22,876 |
+------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                   | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/dean/SNNEngine/src/ActionPotential.cpp               | C++                |         49 |        108 |          8 |        165 |
| /home/dean/SNNEngine/src/ActionPotential.h                 | C++                |         16 |         24 |          4 |         44 |
| /home/dean/SNNEngine/src/Axon.cpp                          | C++                |        119 |         52 |         30 |        201 |
| /home/dean/SNNEngine/src/Axon.h                            | C++                |         38 |         18 |         11 |         67 |
| /home/dean/SNNEngine/src/Brain.cpp                         | C++                |        426 |         49 |        102 |        577 |
| /home/dean/SNNEngine/src/Brain.h                           | C++                |         49 |         12 |         11 |         72 |
| /home/dean/SNNEngine/src/BrainDemo.cpp                     | C++                |        300 |         35 |         64 |        399 |
| /home/dean/SNNEngine/src/BrainDemo.h                       | C++                |         14 |          0 |          2 |         16 |
| /home/dean/SNNEngine/src/BrainDemo1.cpp                    | C++                |        109 |         72 |         17 |        198 |
| /home/dean/SNNEngine/src/BrainDemo1.h                      | C++                |          9 |          0 |          2 |         11 |
| /home/dean/SNNEngine/src/BrainDemo2.cpp                    | C++                |        199 |         20 |         39 |        258 |
| /home/dean/SNNEngine/src/BrainDemo2.h                      | C++                |          9 |          0 |          2 |         11 |
